"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"08_TRINITY_DN281_c0_g1_i4.p1",32225.1105824702,10.8088973505964,0.636035543707763,16.9941718784865,9.07022628175852e-65,9.12147306025045e-61
"02_TRINITY_DN801_c0_g1_i16.p1",21207.1829167255,10.7159161407949,0.632407916108171,16.9446268268438,2.10867887090672e-64,1.36630023647033e-60
"01_TRINITY_DN2202_c0_g1_i4.p1",52994.2119061221,10.6961005761383,0.631794747763835,16.9297079692351,2.71724802161851e-64,1.36630023647033e-60
"02_TRINITY_DN114_c0_g1_i3.p1",29773.7681290159,10.7483538803941,0.635449508430444,16.9145679362353,3.51384150219604e-64,1.41347788267338e-60
"02_TRINITY_DN29436_c2_g1_i1.p1",102743.656497848,10.5385240780432,0.625986484230288,16.8350664807106,1.35036652378859e-63,3.87998884185141e-60
"01_TRINITY_DN91_c0_g1_i22.p1",51652.885516544,10.3701273189204,0.630019124598565,16.4600198851552,7.10770993254731e-61,1.58841522081471e-57
"07_TRINITY_DN4552_c0_g2_i3.p1",45839.315315169,10.4948213243354,0.639384185590404,16.4139519882627,1.51982425555079e-60,3.0568225251893e-57
"03_TRINITY_DN8105_c1_g1_i1.p1",31667.3050888977,9.91024906328461,0.607867607936503,16.3033017944918,9.3501684649529e-60,1.56716615279665e-56
"09_TRINITY_DN488_c2_g1_i11.p1",20622.7211369571,10.828377972566,0.666696473768216,16.241840775553,2.55151436401073e-59,3.94758526179599e-56
"01_TRINITY_DN321_c0_g3_i12.p1",17203.8296373929,11.3843593661152,0.706134349381989,16.1220869315857,1.78478746951004e-58,2.39316202495037e-55
"11_TRINITY_DN178_c4_g4_i1.p1",18667.9189489756,11.2368365249951,0.697412087789995,16.1121906570377,2.09469583489321e-58,2.63316358295044e-55
"11_TRINITY_DN343_c0_g1_i2.p2",59606.5021054039,10.2472153183434,0.643167847216619,15.9324122974887,3.77507858102415e-57,4.21823086111882e-54
"13_TRINITY_DN472_c0_g3_i1.p1",26969.4401841369,10.5960980750979,0.66566769297771,15.9179996068289,4.7533246013262e-57,5.03176935297231e-54
"02_TRINITY_DN508_c0_g4_i2.p1",12957.1337841147,10.6452791966527,0.672335288555135,15.8332893987011,1.83378601808824e-56,1.75633038960994e-53
"01_TRINITY_DN1634_c1_g1_i1.p1",17881.0918676434,10.7625624495632,0.681001082894367,15.8040313296133,2.91841670903305e-56,2.66809614858099e-53
"14_TRINITY_DN335_c0_g1_i26.p1",17379.2259748358,10.6502703185414,0.677691793015399,15.7155072974293,1.18429449629914e-55,9.52788608162586e-53
"01_TRINITY_DN522_c0_g1_i1.p1",17082.1905549641,10.57335319626,0.672761609391814,15.7163444653426,1.16875317797685e-55,9.52788608162586e-53
"05_TRINITY_DN176_c2_g1_i2.p1",16209.3246367834,10.47197806776,0.667802793170973,15.6812432874609,2.03236838729964e-55,1.57219328360607e-52
"14_TRINITY_DN198_c1_g1_i10.p1",14140.0396831302,10.2913295046239,0.656704820759919,15.6711648510743,2.38173976850483e-55,1.77421970236806e-52
"05_TRINITY_DN102_c0_g1_i2.p1",10465.4008187286,10.8151554260297,0.690570840510581,15.6611817232732,2.78670745907279e-55,2.00175168301182e-52
"01_TRINITY_DN214_c0_g3_i1.p1",21715.9774307612,10.7502594666048,0.691251153059192,15.5518864873188,1.54487399475451e-54,1.07145002263784e-51
"02_TRINITY_DN86_c0_g1_i8.p1",11164.390818453,10.7097554689412,0.689344012599218,15.5361550592996,1.97481720899176e-54,1.32398328414837e-51
"12_TRINITY_DN2115_c0_g1_i11.p1",12177.2149619269,10.5342212502624,0.679791812831327,15.4962461321613,3.67760566831683e-54,2.38605428409214e-51
"01_TRINITY_DN91_c0_g1_i15.p1",26594.0620946111,10.2601078549927,0.665277195984225,15.4223050435596,1.15892892010572e-53,7.28423042815201e-51
"15_TRINITY_DN617_c0_g1_i5.p1",14097.9408974919,10.2578924923823,0.666914393552611,15.3811232619214,2.19113138716384e-53,1.33546138151595e-50
"06_TRINITY_DN1490_c3_g1_i1.p1",11353.4928516268,10.8418190803224,0.705273845085205,15.3724955999362,2.50337638290359e-53,1.48089438792176e-50
"03_TRINITY_DN2221_c1_g3_i1.p2",32196.9000940803,9.81627799637627,0.639447714125833,15.3511816205267,3.47793327707379e-53,1.99861920005101e-50
"01_TRINITY_DN5_c0_g1_i2.p1",10039.0242896428,10.1936898102049,0.666423672670165,15.2961100096605,8.11650800811065e-53,4.29598225176657e-50
"12_TRINITY_DN1642_c5_g1_i7.p1",11368.815013993,10.3730092473768,0.678071610984472,15.2978079001369,7.90754515218877e-53,4.29598225176657e-50
"06_TRINITY_DN88_c0_g1_i3.p1",14567.6962229444,10.2809787949714,0.672518902517055,15.2872711183172,9.29647022775292e-53,4.79435655617422e-50
"12_TRINITY_DN1116_c0_g1_i6.p1",17756.7776261079,10.4279892689047,0.683245666046702,15.2624301727981,1.3608425590358e-52,6.84265659747176e-50
"01_TRINITY_DN250_c0_g4_i2.p1",18308.1805205149,10.2880448674328,0.676833228724093,15.2002656353426,3.52190009725181e-52,1.72770674770794e-49
"11_TRINITY_DN715_c1_g1_i4.p1",13045.5958884404,10.0033839630813,0.658397108186633,15.1935417678743,3.90251536004599e-52,1.82537887061872e-49
"13_TRINITY_DN15625_c3_g1_i1.p1",44615.8304447746,10.3788084125675,0.685362795392192,15.143524688451,8.36098637768848e-52,3.82192088669201e-49
"01_TRINITY_DN91_c0_g1_i14.p1",16909.6275621493,10.3119073914437,0.681478228567304,15.1316754654404,1.00113683985849e-51,4.47463672446085e-49
"01_TRINITY_DN4850_c1_g1_i1.p1",41637.0222979872,9.82599039463125,0.650167216166046,15.1130203896989,1.32905450358532e-51,5.81114635448078e-49
"13_TRINITY_DN472_c0_g2_i1.p1",15484.9033749444,10.8520216211504,0.718838914695381,15.0965973033738,1.70508219243733e-51,7.29666343329619e-49
"12_TRINITY_DN0_c0_g1_i7.p1",22583.6572154958,12.2573643822727,0.81229223243006,15.0898456157871,1.88883742524241e-51,7.91462231956264e-49
"12_TRINITY_DN477_c0_g1_i19.p1",14005.0147649598,10.1801798417056,0.674708979070319,15.088253095035,1.93497765618975e-51,7.94249093856011e-49
"03_TRINITY_DN39_c0_g1_i3.p1",7147.78572062698,10.6282240817873,0.708952847501702,14.9914400079502,8.3522518319166e-51,3.29389884500664e-48
