Photo ID	Plate	Spot	ID 	Treatment	Egg Nr	Egg size 1	Egg size 2	Egg size 3	Egg size 4	Egg size 5	Average.eggsize	Egg investment 	overall egg size	Total Egg Nr	Total Egg Nr2	Total egg mass nr	Total egg mass nr2	Total egg investment	Total egg investment2	Remarks
1_2020.04.13	foto 1	1.1	1.01 	Isolated	123	0.877	0.8990 	0.8430 	0.8400 	0.8150 	0.8548 	105.1404 	0.9674 	303 	303 	4 	4 	273.6828 	274 	
1_2020.04.13	foto 1	1.2	1.01 	Isolated	104	0.949	0.8330 	0.9850 	0.9600 	0.8550 	0.9164 	95.3056 								
1_2020.04.13	foto 1	1.3	1.01 	Isolated	64	0.926	0.9260 	0.9300 	0.8690 	0.9700 	0.9242 	59.1488 								
1_2020.04.13	foto 1	1.4	1.01 	Isolated	12	1.1780 	1.2140 	1.0740 	1.2260 	1.1780 	1.1740 	14.0880 								
1_2020.04.13	foto 1	1.5	1.02 	Isolated	34	1.1780 	1.5070 	1.2570 	1.0050 	1.0630 	1.2020 	40.8680 	1.1869 	90 	90 	2 	2 	106.4888 	106 	
1_2020.04.13	foto 1	1.6	1.02 	Isolated	56	1.1390 	1.3800 	0.9650 	1.3100 	1.0650 	1.1718 	65.6208 								
1_2020.04.13	foto 2	2.1	1.03 	Isolated	78	0.8150 	0.8840 	1.0420 	0.9260 	0.8690 	0.9072 	70.7616 	1.1298 	90 	90 	2 	2 	86.9904 	87 	
1_2020.04.13	foto 2	2.2	1.03 	Isolated	12	1.5660 	1.2830 	1.1460 	1.5670 	1.2000 	1.3524 	16.2288 								
1_2020.04.13	foto 2	2.3	1.07 	Isolated	28	1.2490 	1.1460 	1.3850 	1.5930 	1.4510 	1.3648 	38.2144 	1.2105 	135 	135 	3 	3 	159.5332 	160 	
1_2020.04.13	foto 2	2.4	1.07 	Isolated	51	1.0970 	1.1510 	1.1740 	1.1350 	1.0650 	1.1244 	57.3444 								
1_2020.04.13	foto 2	2.5	1.07 	Isolated	56	1.1140 	1.1110 	1.3230 	0.9970 	1.1670 	1.1424 	63.9744 								
1_2020.04.13	foto 2	2.6	1.08 	Isolated	39	1.1280 	0.9350 	0.9520 	0.9840 	1.0580 	1.0114 	39.4446 	1.0077 	175 	175 	3 	3 	175.3598 	175 	
2_2020.04.13	foto 1	1.1	1.08 	Isolated	81	0.9130 	0.9270 	0.9400 	1.0170 	1.0640 	0.9722 	78.7482 								
2_2020.04.13	foto 1	1.2	1.08 	Isolated	55	1.1420 	1.0790 	1.0950 	0.9040 	0.9770 	1.0394 	57.1670 								
2_2020.04.13	foto 1	1.3	1.09 	Isolated	6	1.3250 	1.3970 	1.2680 	1.3580 	1.3440 	1.3384 	8.0304 	1.2256 	47 	47 	3 	3 	56.2014 	56 	
2_2020.04.13	foto 1	1.4	1.09 	Isolated	17	1.1280 	1.1410 	1.0910 	1.3220 	0.9970 	1.1358 	19.3086 								
2_2020.04.13	foto 1	1.5	1.09 	Isolated	24	1.2710 	1.2610 	1.0560 	1.3630 	1.0620 	1.2026 	28.8624 								
