Box ID	Treatment 	Week	Date	SL	remarks
1.01	Isolated	1	2020/2/7	21.07	
1.02	Isolated	1	2020/2/7	20.11	
1.03	Isolated	1	2020/2/7	19.83	
1.04	Isolated	1	2020/2/7	17.86	
1.05	Isolated	1	2020/2/7	19.36	
1.06	Isolated	1	2020/2/7	20.57	
1.07	Isolated	1	2020/2/7	22.23	
1.08	Isolated	1	2020/2/7	20.16	
1.09	Isolated	1	2020/2/7	19.19	
1.10	Isolated	1	2020/2/7	19.11	
2.01	Paired	1	2020/2/7	18.78	
2.01	Paired	1	2020/2/7	20.14	
2.02	Paired	1	2020/2/7	20.76	
2.02	Paired	1	2020/2/7	19.94	
2.03	Paired	1	2020/2/7	20.34	
2.03	Paired	1	2020/2/7	20.59	
2.04	Paired	1	2020/2/7	21.68	
2.04	Paired	1	2020/2/7	20.75	
2.05	Paired	1	2020/2/7	21.58	
2.05	Paired	1	2020/2/7	20.41	
2.06	Paired	1	2020/2/7	17.56	
2.06	Paired	1	2020/2/7	18.64	
2.07	Paired	1	2020/2/7	22.42	
2.07	Paired	1	2020/2/7	21.52	
2.08	Paired	1	2020/2/7	19.88	
2.08	Paired	1	2020/2/7	18.36	
2.09	Paired	1	2020/2/7	18.80	
2.09	Paired	1	2020/2/7	18.41	
2.10	Paired	1	2020/2/7	21.20	
2.10	Paired	1	2020/2/7	21.18	
5.01	Grouped	1	2020/2/7	19.15	
5.01	Grouped	1	2020/2/7	21.03	
5.01	Grouped	1	2020/2/7	21.20	
5.01	Grouped	1	2020/2/7	20.53	
5.01	Grouped	1	2020/2/7	18.49	
5.02	Grouped	1	2020/2/7	18.40	
5.02	Grouped	1	2020/2/7	22.68	
5.02	Grouped	1	2020/2/7	21.09	
5.02	Grouped	1	2020/2/7	20.84	
5.02	Grouped	1	2020/2/7	18.76	
5.03	Grouped	1	2020/2/7	18.10	
5.03	Grouped	1	2020/2/7	18.30	
5.03	Grouped	1	2020/2/7	18.12	
